138	154	201	180	182	300	212	146	214	147	215	216	142	25	171	178	290	261	266	12	288	231	242	252	253	273	291	196	181	3	156	197	158	140	160	204	162	208	209	164	165	213	203	198	199	167	219	191	192	207	224	186	303	193	144	113	230	115	232	145	237	14	84	254	248	307	8	243	251	256	258	262	263	267	268	277	308	278	375
406	424	405	414	418	62	426	428	429	392	44	394	131	393	397	399	132	627	133	50	53	407	58	411	412	45	413	60	416	61	417	419	425	46	401	48	49	52	422	427	66	137	432	433	67	68	135	65	431	51	404	57	59	415	430	396
32	29	34	99	106	89	97	90	87	98	94	36	92	35	100	101	88	102	93	91	33	104	105	109	110	37	107	108	38	39	111	103
948	842	978	950	956	949	951	734	952	1039	998	860	954	846	983	864	957	958	676	1003	841	457	1000	859	1001	855	1002	455	980	453	861	993	127	991	992	999	979	1005
304	143	302	229	159	18	202	15	187	177	245	257	381	270	295	297	148	189	184	195	4	200	235	301	462	265	116	163	370	152	355	314	151	161	176	220	149	318	141	225	272	385	281	391	122	282	380
588	594	583	590	592	582	587	600	593	596	599	1245	598	591
1232	1233	1239	1235	1236	1234	1237	1238	1240
1573	1574	1575	1577	1578	1582	962	960	608	606	607	609
150	166	474	185	377	298	238	153	439	179	489	7	487	305	368	372	379	121	280	293	285	82	309	478	371	374	5	390	227	483	384	376	502	1014	473	271	284	286	501
695	124	126	840	852	837	854	1187	946	947	731	844	862	129	735
904	903	902	906	905	908	907
402	47	395	548	136	635	420	549	628	626	400	64	633
649	660	1017	1394	1007	657	1079	1249	659	655	1430	1432
985	1270	706	1337	611	1336	447	990
802	338	336	678	321	349	313	332	668	350
1485	1487	1488	1486	1490
1120	1279	1278	1281	1280
1051	1048	1050	1053	1052
618	777	776	774	778
85	323	340	205	217	6	511	233	613	466	561	27	259	494
545	410	630	63	634	920
73	76	77	78
228	498	464	188
732	673	955	945	857	1103	984	1127
1617	879	872	880
677	674	312	675
1522	1523	1524	1605
869	876	886	874
899	901	724	723
1603	1601	1600	1602
479	503	440	175	651	518
21	1379	1121	451	1118	72	1119
555	276	558
456	847	851
310	337	335
853	856	863
800	330	801
656	662	653
838	848	1133
1080	1081	1125
448	1639	1286
736	317	112
687	688	1449
1264	1089	1266
988	705	989
1378	1267	1265	1269
792	354	1311
1298	1257	1300
1765	1776	1775
1755	1756	1757
1722	1723	1724
1348	1347	1349
1150	1151	1152
645	644	646
623	625	624
523	525	524
